DATE,FGEXPND
2000-01-01,1866.308
2000-04-01,1908.645
2000-07-01,1918.617
2000-10-01,1938.796
2001-01-01,1982.626
2001-04-01,2003.581
2001-07-01,2037.703
2001-10-01,2045.404
2002-01-01,2091.469
2002-04-01,2130.186
2002-07-01,2148.447
2002-10-01,2184.697
2003-01-01,2220.262
2003-04-01,2299.919
2003-07-01,2309.622
2003-10-01,2344.18
2004-01-01,2381.04
2004-04-01,2400.4
2004-07-01,2428.795
2004-10-01,2476.05
2005-01-01,2548.019
2005-04-01,2578.686
2005-07-01,2617.33
2005-10-01,2649.819
2006-01-01,2728.184
2006-04-01,2749.085
2006-07-01,2775.712
2006-10-01,2789.906
2007-01-01,2869.326
2007-04-01,2905.202
2007-07-01,2945.721
2007-10-01,2991.765
2008-01-01,3043.523
2008-04-01,3397.452
2008-07-01,3194.11
2008-10-01,3192.866
2009-01-01,3322.767
2009-04-01,3524.671
2009-07-01,3532.903
2009-10-01,3560.619
2010-01-01,3710.549
2010-04-01,3745.712
2010-07-01,3792.438
2010-10-01,3809.802
2011-01-01,3811.259
2011-04-01,3849.373
2011-07-01,3783.833
2011-10-01,3786.535
2012-01-01,3774.361
2012-04-01,3772.881
2012-07-01,3777.297
2012-10-01,3769.473
2013-01-01,3759.998
2013-04-01,3777.383
2013-07-01,3774.113
2013-10-01,3773.864
2014-01-01,3820.883
2014-04-01,3877.657
2014-07-01,3933.198
2014-10-01,3929.666
2015-01-01,3973.876
2015-04-01,3993.062
2015-07-01,4015.19
2015-10-01,4054.768
2016-01-01,4089.853
2016-04-01,4103.589
2016-07-01,4153.525
2016-10-01,4178.499
2017-01-01,4196.302
2017-04-01,4200.521
2017-07-01,4258.277
2017-10-01,4323.177
2018-01-01,4399.035
2018-04-01,4459.343
2018-07-01,4518.57
2018-10-01,4599.679
2019-01-01,4693.863
2019-04-01,4751.406
2019-07-01,4787.303
2019-10-01,4801.462
2020-01-01,4875.929
2020-04-01,8896.416
2020-07-01,7116.015
2020-10-01,5877.529
2021-01-01,8178.958
2021-04-01,7649.622
2021-07-01,6709.184
2021-10-01,6079.752
2022-01-01,5891.599
2022-04-01,5935.195
2022-07-01,6063.491
2022-10-01,6229.524
2023-01-01,6439.991
